index,topic,topic_name,topic0,topic1,topic2,topic3,topic4,topic5,title,category,rating,reviews,link,pop_score,unpop_score,pop_topic0,pop_topic1,pop_topic2,pop_topic3,pop_topic4,pop_topic5,unpop_topic0,unpop_topic1,unpop_topic2,unpop_topic3,unpop_topic4,unpop_topic5,img
188,2,Walking tours,0.30475860834121704,0.29375597834587097,0.3242008686065674,0.07117583602666855,0.0,0.0,Beefeater Gin Distillery,Food & Drink,4.0,331.0,/Attraction_Review-g186338-d6582651-Reviews-Beefeater_Gin_Distillery-London_England.html,0.015058322039591803,0.0722345923497355,0.004589153268739874,0.004423472122987482,0.0048819210849930786,0.0010717886603267552,0.0,0.0,0.022014113838600517,0.021219343346111717,0.023418517583225558,0.005141357500538021,0.0,0.0,https://media-cdn.tripadvisor.com/media/photo-o/0c/bf/89/5c/beefeater-gin-distillery.jpg
189,0,Traditional sights,0.7331311702728271,0.0,0.2663094997406006,0.0,0.0,0.0,Big Ben,Sights & Landmarks,4.5,31790.0,/Attraction_Review-g186338-d211709-Reviews-Big_Ben-London_England.html,1.6567397574451819,0.0005366329492082075,1.2146075572133062,0.0,0.4412055360055904,0.0,0.0,0.0,0.00039342234205997175,0.0,0.0001429104522479609,0.0,0.0,0.0,https://media-cdn.tripadvisor.com/media/photo-o/08/dd/25/05/big-ben.jpg
190,1,Art,0.0,0.8394062519073486,0.0,0.06147310882806777,0.08971279114484787,0.0,Dulwich Picture Gallery,Museums,4.5,460.0,/Attraction_Review-g186338-d211586-Reviews-Dulwich_Picture_Gallery-London_England.html,0.02366473225145081,0.05838698175324195,0.0,0.019864324201581275,0.0,0.0014547446610805206,0.002123029181973152,0.0,0.0,0.04901039751367158,0.0,0.0035892292834594493,0.005238059099606639,0.0,https://media-cdn.tripadvisor.com/media/photo-s/02/96/40/c2/enfilade-at-dulwich-picture.jpg
191,5,Performing arts,0.0,0.0,0.0,0.0,0.0,0.9995162487030028,Apollo Victoria Theatre,Concerts & Shows,4.5,1322.0,/Attraction_Review-g186338-d1812120-Reviews-Apollo_Victoria_Theatre-London_England.html,0.06859644855266359,0.020112270278883525,0.0,0.0,0.0,0.0,0.0,0.06856326493170684,0.0,0.0,0.0,0.0,0.0,0.020102540942050558,https://media-cdn.tripadvisor.com/media/photo-s/01/d4/75/cb/main-theatre-entrance.jpg
192,2,Walking tours,0.06712980568408966,0.17062163352966309,0.6892192959785461,0.05633402615785599,0.0,0.016485339030623436,City of London Information Centre,Traveller Resources,4.5,122.0,/Attraction_Review-g186338-d548798-Reviews-City_of_London_Information_Centre-London_England.html,0.0060464954651284035,0.2210141067804036,0.00040590006564379904,0.001031662933389908,0.00416736134761327,0.0003406234336959011,0.0,9.967852768976888e-05,0.014836634041611138,0.03770978793197185,0.152327187076517,0.012450614472622431,0.0,0.0036434924808253634,https://media-cdn.tripadvisor.com/media/photo-s/02/dd/21/97/the-city-information.jpg
193,5,Performing arts,0.02474011480808258,0.0,0.0,0.0,0.0,0.9748504161834716,Haymarket Theatre Royal,Concerts & Shows,4.0,772.0,/Attraction_Review-g186338-d240649-Reviews-Haymarket_Theatre_Royal-London_England.html,0.035491306714853295,0.03081224373019544,0.0008780590028143428,0.0,0.0,0.0,0.0,0.034598715121869975,0.000762298447379658,0.0,0.0,0.0,0.0,0.030037328623927582,https://media-cdn.tripadvisor.com/media/photo-o/02/34/dc/63/the-theatre-royal-haymarket.jpg
194,1,Art,0.23276908695697784,0.5681415796279907,0.017345966771245003,0.0,0.1815328747034073,0.0,Queen's House,Museums,4.5,359.0,/Attraction_Review-g186338-d187602-Reviews-Queen_s_House-London_England.html,0.0184001111999166,0.07490139089916575,0.004282977083911449,0.010453868242451302,0.0003191677174609664,0.0,0.003340225080983221,0.0,0.017434728371406503,0.04255459454178564,0.001299237037656962,0.0,0.013597064809209188,0.0,https://media-cdn.tripadvisor.com/media/photo-o/01/2b/f7/b0/queen-s-house.jpg
195,3,Food,0.0,0.0,0.2067021131515503,0.5467689633369446,0.1956399232149124,0.05067645385861397,Winter Wonderland,Events,4.0,5324.0,/Attraction_Review-g186338-d5929776-Reviews-Winter_Wonderland-London_England.html,0.24640048186630525,0.004230202311946313,0.0,0.0,0.05093150028332555,0.13472413603576333,0.04820577135244137,0.012486702650038066,0.0,0.0,0.0008743917569378765,0.002312943332808432,0.0008275964554927216,0.00021437165227394944,https://media-cdn.tripadvisor.com/media/photo-o/0a/8b/75/f0/winter-wonderland.jpg
196,5,Performing arts,0.02491003088653088,0.0,0.0,0.2257797122001648,0.0,0.7489776015281677,West End Theatre District,Other,4.5,585.0,/Attraction_Review-g186338-d189783-Reviews-West_End_Theatre_District-London_England.html,0.030180352364735725,0.0458443040783104,0.0007517935095719523,0.0,0.0,0.006814111271009595,0.0,0.022604407927414732,0.0011419830305622258,0.0,0.0,0.010350713780817764,0.0,0.03433635691230092,https://media-cdn.tripadvisor.com/media/photo-o/01/76/72/a2/west-end-theater-district.jpg
197,4,Nature,0.0,0.0,0.015146698802709581,0.17896555364131927,0.7901487350463867,0.01551261730492115,Victoria Park,Nature & Parks,4.5,271.0,/Attraction_Review-g186338-d211742-Reviews-Victoria_Park-London_England.html,0.01381311464016402,0.09932517089357573,0.0,0.0,0.00020922308698186252,0.0024720717090879665,0.010914415059976326,0.0002142775612018681,0.0,0.0,0.0015044484470526482,0.017775784199487433,0.07848165813982505,0.0015407933648179336,https://media-cdn.tripadvisor.com/media/photo-s/02/8c/c2/25/filename-dsc07409-jpg.jpg
