u_id,i_id,rating
81,0,5.0
81,201,5.0
82,0,5.0
82,5,5.0
83,0,5.0
83,9,4.0
83,10,4.0
83,17,4.0
83,31,4.0
83,39,4.0
83,85,5.0
83,109,4.0
83,121,4.0
83,184,4.0
83,258,4.0
83,348,4.0
83,504,4.0
84,0,5.0
85,0,5.0
86,0,5.0
87,0,5.0
87,21,5.0
87,43,5.0
88,0,5.0
89,0,5.0
89,41,5.0
89,43,5.0
90,0,5.0
90,17,5.0
90,41,5.0
90,43,5.0
90,145,4.0
90,251,5.0
91,0,4.0
91,7,5.0
91,21,5.0
92,0,5.0
92,3,5.0
92,43,3.0
93,0,5.0
94,0,5.0
94,3,3.0
94,5,5.0
95,0,5.0
96,0,5.0
96,6,4.0
96,7,5.0
96,8,5.0
96,10,5.0
96,12,5.0
96,13,5.0
96,25,5.0
96,43,4.0
96,86,5.0
96,141,4.0
96,453,4.0
97,0,5.0
97,3,3.0
97,4,5.0
97,24,3.0
97,41,3.0
97,53,4.0
98,0,4.0
99,0,5.0
100,0,5.0
101,0,5.0
101,5,5.0
101,7,5.0
102,0,5.0
102,13,5.0
102,24,5.0
102,156,5.0
102,178,5.0
103,0,5.0
103,9,5.0
103,43,3.0
104,0,4.0
104,2,5.0
104,4,5.0
104,5,4.0
104,7,5.0
104,17,5.0
104,18,4.0
104,21,5.0
104,25,4.0
104,27,4.0
104,39,3.0
104,49,3.0
104,55,4.0
104,61,2.0
104,80,3.0
104,83,4.0
104,89,4.0
104,92,5.0
104,97,3.0
104,110,4.0
104,118,4.0
104,311,3.0
104,338,4.0
104,422,3.0
105,0,5.0
105,14,5.0
106,0,5.0
106,54,5.0
107,0,5.0
108,0,5.0
109,0,5.0
109,160,5.0
110,0,5.0
110,2,3.0
110,5,5.0
110,13,3.0
111,0,5.0
112,0,5.0
112,2,4.0
112,13,5.0
113,0,5.0
113,39,4.0
114,0,5.0
115,0,4.0
115,21,4.0
115,43,4.0
116,0,5.0
116,13,5.0
116,91,3.0
116,447,5.0
117,0,5.0
117,41,4.0
117,91,5.0
118,0,4.0
119,0,5.0
119,3,5.0
119,4,4.0
119,8,5.0
119,10,4.0
119,12,4.0
119,41,5.0
119,91,3.0
120,0,5.0
120,8,5.0
120,15,4.0
121,0,4.0
121,2,4.0
121,10,5.0
121,12,5.0
121,21,5.0
121,41,5.0
121,43,5.0
121,91,5.0
122,0,3.0
122,4,5.0
122,9,5.0
122,18,5.0
123,0,5.0
123,6,5.0
124,0,4.0
125,0,4.0
125,5,3.0
125,7,5.0
126,0,5.0
127,0,5.0
127,6,5.0
128,0,4.0
128,7,5.0
128,17,5.0
129,0,5.0
129,4,4.0
129,5,5.0
129,43,5.0
130,0,4.0
130,21,3.0
130,41,1.0
130,145,3.0
131,0,3.0
131,2,1.0
131,41,4.0
131,91,2.0
132,0,4.0
132,21,4.0
132,43,5.0
132,57,5.0
132,61,3.0
132,134,4.0
132,189,3.0
133,0,5.0
134,0,5.0
135,0,5.0
136,0,5.0
136,5,4.0
136,21,5.0
137,0,5.0
137,2,5.0
137,4,5.0
137,5,4.0
137,7,5.0
137,13,4.0
137,156,4.0
138,0,5.0
138,3,5.0
138,6,5.0
138,90,5.0
138,145,2.0
139,0,5.0
140,0,4.0
140,21,4.0
140,23,4.0
140,37,4.0
140,49,3.0
140,202,3.0
140,556,4.0
141,0,4.0
142,0,4.0
142,4,5.0
142,7,3.0
142,12,4.0
142,14,3.0
142,21,4.0
142,39,4.0
142,109,4.0
142,121,4.0
142,134,4.0
142,175,4.0
142,253,4.0
142,375,4.0
143,0,5.0
143,18,5.0
144,0,5.0
145,0,5.0
146,0,5.0
147,0,5.0
148,0,5.0
148,17,4.0
149,0,5.0
149,41,5.0
150,0,5.0
150,7,5.0
150,13,5.0
150,18,5.0
150,57,5.0
150,83,5.0
151,0,5.0
151,2,5.0
151,7,5.0
152,0,5.0
152,2,5.0
153,0,5.0
154,0,5.0
154,164,5.0
155,0,5.0
155,596,5.0
156,0,5.0
156,3,5.0
156,14,5.0
157,0,5.0
158,0,5.0
159,0,5.0
160,0,5.0
160,6,5.0
160,8,5.0
160,10,5.0
160,80,5.0
160,145,5.0
160,258,5.0
160,348,5.0
161,0,5.0
161,8,5.0
162,0,4.0
163,0,4.0
164,0,5.0
165,0,5.0
165,8,4.0
166,0,5.0
167,0,5.0
167,326,5.0
168,0,5.0
168,2,5.0
168,3,5.0
169,0,5.0
169,1234,5.0
170,0,4.0
171,0,5.0
171,14,5.0
172,0,5.0
173,0,3.0
173,38,5.0
174,0,5.0
174,5,4.0
174,17,4.0
174,145,4.0
175,0,3.0
175,81,5.0
176,0,5.0
176,306,4.0
177,0,5.0
177,33,5.0
177,61,4.0
178,0,4.0
178,5,5.0
178,17,5.0
178,18,5.0
179,0,5.0
179,8,4.0
180,0,5.0
180,33,5.0
180,269,5.0
180,670,5.0
181,0,3.0
181,2,5.0
182,0,5.0
183,0,4.0
184,0,5.0
184,5,4.0
184,7,4.0
184,14,4.0
184,21,4.0
185,0,5.0
185,4,5.0
185,5,5.0
185,6,4.0
186,0,5.0
187,0,4.0
188,0,5.0
189,0,5.0
189,5,5.0
189,21,5.0
189,189,3.0
190,0,4.0
190,3,5.0
190,4,5.0
191,0,4.0
191,4,5.0
192,0,5.0
192,3,5.0
193,0,4.0
193,7,5.0
193,17,5.0
193,61,4.0
194,0,5.0
195,0,5.0
195,60,4.0
195,107,5.0
195,141,5.0
195,250,5.0
195,270,4.0
195,277,5.0
195,382,4.0
195,481,4.0
195,488,5.0
196,0,5.0
196,3,5.0
196,173,5.0
197,0,5.0
198,0,5.0
199,0,5.0
200,0,5.0
201,0,4.0
201,65,4.0
201,91,5.0
201,220,4.0
201,250,4.0
201,433,4.0
202,0,4.0
202,5,5.0
202,14,5.0
202,17,4.0
202,18,5.0
202,21,4.0
202,135,4.0
202,189,3.0
203,0,5.0
204,0,4.0
205,0,5.0
206,0,5.0
207,0,4.0
207,184,5.0
207,455,5.0
208,0,4.0
208,4,5.0
208,5,3.0
208,10,3.0
208,13,5.0
208,14,5.0
208,17,4.0
208,35,5.0
208,39,3.0
208,91,3.0
208,134,5.0
208,145,5.0
208,251,5.0
209,0,4.0
209,24,4.0
209,178,4.0
210,0,5.0
211,0,4.0
211,218,3.0
212,0,5.0
213,0,4.0
214,0,5.0
215,0,5.0
216,0,5.0
217,0,5.0
218,0,5.0
218,189,4.0
219,0,5.0
220,0,5.0
220,245,5.0
221,0,4.0
221,189,5.0
222,0,5.0
222,110,5.0
223,0,4.0
224,0,5.0
225,0,4.0
226,0,5.0
227,0,5.0
227,4,1.0
228,0,5.0
228,92,5.0
229,0,4.0
230,0,5.0
231,0,4.0
231,178,3.0
232,0,4.0
233,0,5.0
233,21,5.0
233,24,4.0
233,67,4.0
234,0,4.0
235,0,5.0
236,0,4.0
237,0,3.0
237,178,3.0
237,311,4.0
238,0,5.0
238,4,5.0
238,14,5.0
238,145,4.0
239,0,5.0
239,4,5.0
240,0,5.0
240,2,5.0
240,3,5.0
241,0,5.0
242,0,4.0
243,0,5.0
243,2,5.0
243,9,5.0
243,10,5.0
243,12,5.0
243,15,5.0
243,21,4.0
243,25,4.0
243,53,4.0
243,62,5.0
243,63,5.0
243,83,4.0
243,89,4.0
243,91,5.0
243,95,4.0
243,100,5.0
243,109,4.0
243,114,5.0
243,118,4.0
243,132,5.0
243,134,4.0
243,175,4.0
243,189,3.0
243,208,5.0
243,260,5.0
243,311,4.0
243,338,4.0
243,358,4.0
243,375,4.0
243,682,4.0
243,1014,4.0
244,0,3.0
245,0,5.0
246,0,3.0
246,4,4.0
247,0,5.0
248,0,5.0
248,4,5.0
249,0,5.0
249,7,3.0
249,17,5.0
249,21,3.0
249,151,5.0
250,0,5.0
250,2,5.0
250,29,5.0
251,0,5.0
251,13,5.0
252,0,5.0
252,4,5.0
253,0,5.0
253,21,5.0
254,0,5.0
254,2,3.0
254,12,5.0
254,156,3.0
255,0,5.0
255,202,3.0
256,0,4.0
257,0,5.0
258,0,5.0
258,5,5.0
258,7,5.0
258,17,5.0
259,0,5.0
260,0,5.0
260,15,4.0
260,91,5.0
260,175,5.0
261,0,4.0
262,0,5.0
263,0,4.0
264,0,5.0
264,2,5.0
264,3,5.0
264,6,5.0
264,17,4.0
264,91,4.0
264,251,5.0
265,0,5.0
266,0,5.0
267,0,5.0
268,0,5.0
268,7,5.0
269,0,5.0
270,0,5.0
271,0,4.0
271,2,4.0
271,21,5.0
272,0,4.0
272,31,5.0
273,0,4.0
273,161,5.0
273,432,4.0
274,0,5.0
274,2,5.0
274,16,3.0
275,0,5.0
276,0,5.0
277,0,5.0
277,8,5.0
278,0,5.0
279,0,5.0
280,0,5.0
280,7,5.0
281,0,5.0
282,0,5.0
282,399,2.0
283,0,5.0
284,0,5.0
285,0,5.0
285,5,5.0
285,7,5.0
285,37,5.0
286,0,5.0
287,0,5.0
287,104,5.0
288,0,5.0
289,0,5.0
290,0,5.0
291,0,5.0
291,2,5.0
291,7,5.0
291,17,4.0
291,24,1.0
291,25,5.0
291,27,4.0
291,220,4.0
291,251,5.0
292,0,5.0
292,5,5.0
292,7,5.0
292,10,5.0
292,14,4.0
292,21,5.0
292,25,4.0
292,31,4.0
292,39,5.0
292,55,5.0
292,83,4.0
292,89,4.0
292,95,4.0
292,132,4.0
292,144,5.0
292,145,4.0
292,185,5.0
292,189,5.0
292,260,4.0
292,271,4.0
292,289,5.0
292,293,4.0
292,338,4.0
292,358,4.0
292,377,4.0
292,401,4.0
292,408,4.0
292,416,5.0
292,504,5.0
292,673,4.0
292,1038,4.0
293,0,5.0
294,0,5.0
295,0,5.0
295,27,5.0
296,0,5.0
296,505,5.0
297,0,5.0
297,8,4.0
298,0,5.0
299,0,3.0
300,0,4.0
300,25,5.0
301,0,4.0
302,0,5.0
303,0,5.0
304,0,5.0
304,5,3.0
304,15,4.0
304,71,5.0
304,458,4.0
305,0,5.0
306,0,5.0
307,0,5.0
308,0,5.0
309,0,5.0
310,0,4.0
310,7,5.0
310,10,5.0
310,11,5.0
310,17,5.0
310,156,4.0
311,0,5.0
311,5,5.0
311,9,5.0
311,13,5.0
311,21,5.0
311,251,5.0
312,0,5.0
313,0,5.0
314,0,5.0
314,5,5.0
314,12,5.0
314,17,4.0
314,25,5.0
314,61,4.0
315,0,5.0
316,0,5.0
316,156,5.0
317,0,5.0
317,2,5.0
317,62,5.0
317,115,5.0
317,191,5.0
318,0,5.0
319,0,5.0
319,21,4.0
319,25,5.0
320,0,5.0
321,0,5.0
322,0,4.0
322,20,4.0
323,0,5.0
324,0,5.0
325,0,5.0
325,2,5.0
325,10,5.0
326,0,5.0
327,0,5.0
327,2,5.0
327,5,4.0
328,0,5.0
328,33,5.0
328,56,3.0
328,57,5.0
328,77,5.0
328,95,5.0
328,100,5.0
328,105,4.0
328,109,5.0
328,141,5.0
328,146,3.0
328,181,4.0
328,194,5.0
328,198,5.0
328,203,5.0
328,208,4.0
328,227,5.0
328,229,3.0
328,239,5.0
328,241,3.0
328,242,5.0
328,258,4.0
328,260,5.0
328,271,5.0
328,274,3.0
328,289,4.0
328,291,4.0
328,295,4.0
328,312,2.0
328,315,5.0
328,342,5.0
328,352,3.0
328,364,4.0
328,380,4.0
328,388,5.0
328,390,5.0
328,400,4.0
328,427,5.0
328,443,5.0
328,484,4.0
328,496,4.0
328,522,5.0
328,530,5.0
328,553,5.0
328,555,4.0
328,566,5.0
328,567,5.0
328,606,4.0
328,608,4.0
328,676,5.0
328,678,5.0
328,686,5.0
328,1000,5.0
328,1002,5.0
328,1011,4.0
328,1012,5.0
328,1020,3.0
328,1030,4.0
328,1040,4.0
328,1057,4.0
328,1113,4.0
328,1122,5.0
328,1132,4.0
328,1172,4.0
328,1197,4.0
328,1217,5.0
328,1251,4.0
328,1258,4.0
328,1261,3.0
328,1302,4.0
328,1358,5.0
328,1443,3.0
329,0,5.0
329,15,5.0
329,48,5.0
329,85,5.0
330,0,4.0
331,0,5.0
331,3,5.0
331,7,5.0
331,21,5.0
331,132,5.0
332,0,5.0
332,54,5.0
333,0,5.0
334,0,5.0
335,0,5.0
336,0,5.0
336,36,5.0
336,107,5.0
336,391,5.0
336,668,5.0
337,0,5.0
337,6,5.0
337,399,4.0
338,0,5.0
338,52,4.0
338,179,5.0
338,190,3.0
338,254,5.0
338,520,5.0
338,548,5.0
339,0,4.0
340,0,5.0
341,0,5.0
341,2,4.0
341,21,5.0
342,0,5.0
343,0,4.0
343,6,2.0
343,10,4.0
343,15,3.0
343,23,4.0
343,42,4.0
343,44,3.0
343,53,4.0
343,55,4.0
343,61,4.0
343,74,3.0
343,83,3.0
343,88,4.0
343,95,4.0
343,97,3.0
343,100,3.0
343,104,3.0
343,105,4.0
343,132,3.0
343,178,4.0
343,180,3.0
343,181,3.0
343,182,3.0
343,194,4.0
343,195,4.0
343,196,4.0
343,198,4.0
343,199,3.0
343,200,4.0
343,219,2.0
343,222,3.0
343,237,3.0
343,239,3.0
343,240,4.0
343,241,4.0
343,248,4.0
343,257,4.0
343,260,4.0
343,266,3.0
343,271,4.0
343,274,3.0
343,304,4.0
343,312,2.0
343,317,3.0
343,323,4.0
343,338,4.0
343,340,4.0
343,347,3.0
343,349,4.0
343,352,4.0
343,358,3.0
343,360,4.0
343,381,4.0
343,408,3.0
343,415,3.0
343,416,3.0
343,422,3.0
343,443,3.0
343,445,3.0
343,446,3.0
343,450,3.0
343,463,3.0
343,469,3.0
343,477,4.0
343,488,3.0
343,504,3.0
343,512,4.0
343,517,2.0
343,519,2.0
343,530,3.0
343,540,3.0
343,546,4.0
343,573,3.0
343,666,2.0
343,672,3.0
343,682,3.0
343,1105,2.0
343,1124,4.0
343,1197,4.0
343,1236,3.0
344,0,5.0
345,0,5.0
346,0,5.0
346,7,5.0
347,0,5.0
348,0,5.0
348,6,5.0
348,368,4.0
349,0,5.0
349,2,5.0
350,0,5.0
351,0,5.0
352,0,5.0
352,5,5.0
353,0,5.0
354,0,5.0
354,2,4.0
354,5,4.0
355,0,5.0
355,6,3.0
355,83,3.0
355,85,5.0
355,89,4.0
355,91,2.0
355,95,4.0
355,121,5.0
355,156,4.0
355,175,4.0
355,189,3.0
356,0,5.0
356,3,3.0
356,5,2.0
356,21,3.0
356,156,5.0
356,202,4.0
357,0,5.0
358,0,5.0
359,0,5.0
359,5,5.0
359,8,5.0
359,10,5.0
359,14,4.0
359,21,5.0
359,25,4.0
359,53,5.0
359,71,4.0
359,83,4.0
359,89,5.0
359,91,4.0
359,189,2.0
360,0,5.0
360,12,5.0
360,21,5.0
360,91,4.0
361,0,5.0
361,143,4.0
362,0,3.0
363,0,5.0
363,5,5.0
363,21,5.0
363,189,1.0
364,0,5.0
364,16,5.0
364,21,5.0
364,134,5.0
364,471,5.0
365,0,5.0
366,0,5.0
367,0,5.0
368,0,5.0
369,0,5.0
370,0,5.0
371,0,5.0
372,0,5.0
373,0,5.0
373,67,5.0
373,311,5.0
374,0,5.0
374,2,5.0
374,14,5.0
375,0,5.0
376,0,5.0
377,0,4.0
378,0,5.0
378,2,5.0
378,8,5.0
379,0,5.0
380,0,5.0
381,0,5.0
382,0,5.0
382,21,4.0
383,0,5.0
383,3,5.0
383,7,5.0
383,76,5.0
384,0,4.0
385,0,5.0
385,156,5.0
385,251,4.0
386,0,4.0
387,0,5.0
388,0,5.0
389,0,5.0
390,0,5.0
390,33,4.0
390,143,5.0
391,0,5.0
391,64,5.0
392,0,5.0
392,7,5.0
392,19,5.0
392,24,5.0
392,39,4.0
392,42,4.0
392,53,4.0
392,55,5.0
392,56,4.0
392,62,3.0
392,70,5.0
392,77,4.0
392,83,5.0
392,88,5.0
392,89,5.0
392,95,5.0
392,109,5.0
392,115,5.0
392,121,5.0
392,134,5.0
392,135,5.0
392,139,4.0
392,141,5.0
392,142,3.0
392,145,5.0
392,148,5.0
392,149,5.0
392,159,5.0
392,173,4.0
392,180,5.0
392,182,4.0
392,185,5.0
392,187,4.0
392,189,2.0
392,196,5.0
392,198,5.0
392,200,4.0
392,205,4.0
392,208,4.0
392,210,4.0
392,211,3.0
392,217,4.0
392,221,4.0
392,222,3.0
392,226,4.0
392,227,4.0
392,231,5.0
392,239,5.0
392,240,3.0
392,241,5.0
392,242,5.0
392,248,5.0
392,251,4.0
392,252,5.0
392,253,4.0
392,257,3.0
392,258,5.0
392,260,5.0
392,263,4.0
392,266,5.0
392,270,4.0
392,274,4.0
392,275,4.0
392,281,4.0
392,282,5.0
392,289,5.0
392,292,3.0
392,293,4.0
392,300,3.0
392,301,5.0
392,304,4.0
392,315,5.0
392,317,3.0
392,320,5.0
392,323,4.0
392,328,4.0
392,335,3.0
392,336,5.0
392,337,5.0
392,338,4.0
392,340,4.0
392,343,5.0
392,344,5.0
392,345,4.0
392,347,3.0
392,348,4.0
392,349,2.0
392,351,4.0
392,352,5.0
392,354,5.0
392,358,3.0
392,369,5.0
392,374,3.0
392,375,5.0
392,377,4.0
392,378,4.0
392,382,5.0
392,388,4.0
392,392,4.0
392,401,4.0
392,408,4.0
392,413,4.0
392,414,4.0
392,416,4.0
392,418,4.0
392,422,5.0
392,427,5.0
392,430,3.0
392,431,4.0
392,439,4.0
392,445,5.0
392,450,4.0
392,460,4.0
392,463,4.0
392,468,4.0
392,469,4.0
392,470,4.0
392,477,4.0
392,479,5.0
392,484,4.0
392,490,4.0
392,495,4.0
392,500,4.0
392,502,4.0
392,503,4.0
392,504,5.0
392,508,3.0
392,511,3.0
392,515,4.0
392,517,5.0
392,522,3.0
392,524,4.0
392,525,5.0
392,526,4.0
392,542,4.0
392,543,4.0
392,545,3.0
392,549,5.0
392,555,5.0
392,566,4.0
392,569,3.0
392,572,4.0
392,573,5.0
392,584,4.0
392,590,3.0
392,597,4.0
392,607,4.0
392,608,4.0
392,622,5.0
392,623,5.0
392,636,4.0
392,643,5.0
392,644,2.0
392,645,4.0
392,648,1.0
392,658,5.0
392,662,4.0
392,666,4.0
392,669,4.0
392,678,4.0
392,682,5.0
392,686,4.0
392,1011,3.0
392,1012,4.0
392,1014,4.0
392,1025,3.0
392,1038,4.0
392,1041,4.0
392,1045,3.0
392,1054,4.0
392,1055,4.0
392,1063,3.0
392,1074,4.0
392,1081,4.0
392,1089,4.0
392,1094,4.0
392,1096,3.0
392,1101,4.0
392,1124,4.0
392,1129,4.0
392,1151,4.0
392,1180,3.0
392,1192,3.0
392,1203,3.0
392,1207,4.0
392,1217,5.0
392,1222,4.0
392,1251,5.0
392,1253,4.0
392,1258,4.0
392,1261,5.0
392,1285,4.0
392,1310,4.0
392,1315,4.0
392,1321,4.0
392,1398,4.0
392,1433,4.0
392,1434,4.0
392,1513,4.0
392,1737,3.0
393,0,5.0
393,120,3.0
393,412,3.0
394,0,5.0
394,6,4.0
394,94,5.0
395,0,5.0
395,2,5.0
395,3,5.0
395,6,4.0
396,0,5.0
396,2,5.0
396,7,5.0
396,120,4.0
397,0,5.0
398,0,5.0
398,13,5.0
399,0,4.0
399,9,5.0
400,0,5.0
401,0,4.0
402,0,5.0
402,8,5.0
402,16,5.0
403,0,5.0
404,0,4.0
405,0,3.0
406,0,5.0
407,0,5.0
407,2,5.0
407,3,5.0
407,7,5.0
407,8,4.0
407,27,4.0
407,55,5.0
407,61,4.0
407,83,5.0
407,97,5.0
407,145,5.0
407,189,4.0
407,258,3.0
407,281,4.0
408,0,3.0
408,3,5.0
408,5,3.0
408,6,5.0
408,7,4.0
408,8,5.0
408,9,3.0
408,15,4.0
408,21,3.0
408,27,3.0
408,31,3.0
408,35,4.0
408,39,3.0
408,56,4.0
408,57,3.0
408,83,3.0
408,85,5.0
408,89,4.0
408,91,3.0
408,95,5.0
408,97,4.0
408,113,3.0
408,145,3.0
408,175,3.0
408,179,3.0
408,189,3.0
408,195,5.0
408,205,3.0
408,208,3.0
408,248,4.0
408,260,3.0
408,271,3.0
408,276,4.0
408,293,3.0
408,311,3.0
408,338,3.0
408,349,3.0
408,352,3.0
408,446,3.0
408,623,3.0
408,673,3.0
409,0,5.0
409,5,5.0
409,7,5.0
409,10,5.0
409,14,5.0
409,21,5.0
409,27,5.0
409,68,5.0
409,177,5.0
409,251,5.0
409,257,5.0
410,0,4.0
410,189,2.0
411,0,5.0
412,0,4.0
412,7,4.0
412,21,5.0
412,91,4.0
412,145,4.0
413,0,4.0
413,176,4.0
413,218,4.0
413,251,4.0
414,0,4.0
414,14,2.0
415,0,5.0
416,0,4.0
417,0,5.0
417,24,5.0
417,189,4.0
418,0,5.0
419,0,5.0
419,8,5.0
419,9,5.0
420,0,4.0
421,0,5.0
421,2,5.0
422,0,5.0
423,0,5.0
423,6,5.0
423,21,5.0
423,27,5.0
424,0,5.0
424,55,4.0
424,195,4.0
424,215,3.0
425,0,1.0
425,356,1.0
426,0,5.0
427,0,5.0
428,0,5.0
428,21,5.0
429,0,5.0
430,0,5.0
431,0,5.0
431,5,5.0
431,8,4.0
431,156,4.0
432,0,2.0
433,0,5.0
433,2,5.0
433,5,5.0
433,178,1.0
433,250,5.0
434,0,4.0
435,0,5.0
436,0,4.0
436,176,4.0
437,0,5.0
437,57,5.0
437,91,5.0
437,244,5.0
438,0,5.0
439,0,5.0
439,2,5.0
439,9,5.0
439,10,5.0
439,132,5.0
440,0,5.0
441,0,5.0
442,0,4.0
443,0,5.0
444,0,5.0
445,0,5.0
446,0,5.0
447,0,5.0
